Taxon (original name);Taxon (revised nomenclature);Family name;Pollen habit (code);Pollen habit (name);Plant habit
cf.Urginea noctiflora;Vera-duthiea-type noctiflora;HYACINTHACEAE;N;herb;herb with bulb
Drimiopsis sim.;Drimiopsis;HYACINTHACEAE;N;herb;herbs with bulbs
Eucomis;Eucomis;HYACINTHACEAE;N;herb;perennial-Geophyte- Ht 0.12 - 0.6 m.
Hyacinthaceae;Hyacinthaceae undiff.;HYACINTHACEAE;N;herb;herbs with bulbs
Ornithogalum-type;Ornithogalum-type;HYACINTHACEAE;N;herb;herbs with bulbs
t.Muscari;Muscari-type;HYACINTHACEAE;N;herb;herbs with bulbs
Hypericum annulatum*;Hypericum annulatum-type;HYPERICACEAE;N;herb;perennial herb with erect stems up to 75 cm tall
Cucurligo;Curculigo;HYPOXIDACEAE;N;herb;herbs
Hypoxidaceae;Hypoxidaceae undiff.;HYPOXIDACEAE;N;herb;herbs
Gladiolus watsonii Type;Gladiolus-type watsonii;IRIDACEAE;N;herb;herbs
Iridaceae Type, 24µm;Iridaceae undiff.;IRIDACEAE;N;herb;perennial evergreen or seasonal herbs, with rhizomes, bulbs or corms, rarely annuals or shrubs
Iridiaceae;Iridaceae undiff.;IRIDACEAE;N;herb;perennial evergreen or seasonal herbs, with rhizomes, bulbs or corms, rarely annuals or shrubs
Oenostachys;Gladiolus-type;IRIDACEAE;N;herb;herbs
Watsonia;Watsonia-type;IRIDACEAE;N;herb;perennial herb
Juncaceae Juncus;Juncaceae undiff.;JUNCACEAE;N;herb;annual or perennial herbs, rarely shrubs
Ajuga;Ajuga;LAMIACEAE;N;herb;perennial herbs
Basilicum polystachon;Basilicum-type polystachyon;LAMIACEAE;N;herb;herb reaching 1 m high
Basilicum-type;Basilicum-type polystachyon;LAMIACEAE;N;herb;herb reaching 1 m high
Becium;Ocimum-type;LAMIACEAE;I;undifferentiated (tree, shrub, herb, liana..);annual herbs, suffrutex or shrubs reaching 3 m high
cf. Leonotis;Leonotis-type;LAMIACEAE;I;undifferentiated (tree, shrub, herb, liana..);herbs or suffrutex
